name, html, js, ruby
730e768649b3, 2, 1, 0
76f47ff175a6, 3, 3, 3
eb01b226124c, 5, 3, 2
2e7738ecf508, 1, 3, 2
7a3b0fab4dec, 5, 2, 4
84cad186cee4, 4, 4, 4
56dca024bf42, 2, 5, 0
d910247b5b23, 2, 3, 3
21de0afa740c, 2, 0, 1
aebeee113a4a, 3, 4, 2
dcd964f67cb4, 2, 5, 4
97072095ef34, 2, 1, 5
865814d752c4, 4, 2, 5
ed1a8664b40a, 4, 2, 3
83193be5ed9d, 4, 5, 5
2585a21fc68f, 0, 4, 0
228b9fc39e87, 3, 3, 1
896cabd050ce, 3, 5, 2
c8351706702f, 3, 3, 4
ed26084f90df, 0, 2, 3
3556fb720a46, 0, 1, 2
8352cb2be3e8, 2, 4, 5
865bea0665cf, 3, 0, 1
548444b749a4, 3, 3, 0
adb933c294b1, 3, 4, 4
4a7e2edd5927, 4, 3, 1
b193f53bb132, 1, 2, 3
8d443737445b, 2, 0, 3
c41afe3c52d2, 2, 2, 3
4fad72ae755d, 4, 2, 5
82e953df7430, 4, 0, 4
f431ea98362c, 5, 2, 2
6467cd29428c, 4, 1, 4
19b8481033c2, 1, 3, 2
e745cf4d0858, 4, 3, 2
6447f46f2676, 4, 4, 4
fb554ab8c2e0, 2, 5, 2
e6e95888d448, 1, 2, 5
35973f54e7b5, 3, 4, 3
39d5e553fe72, 1, 2, 4
e7cd3937aeab, 0, 0, 5
00b67fad4385, 4, 4, 2
abcb2b240218, 4, 1, 5
59f49bf63b47, 2, 5, 2
7eaa03441f6a, 2, 3, 3
9d5db59e1fa4, 0, 4, 4
7493058a21a4, 0, 3, 2
d14182401f65, 4, 3, 5
5a63690d8333, 4, 0, 5
f48d9dd003f9, 5, 4, 1
bac8b09bfb13, 4, 4, 1
053159017632, 3, 5, 5
db09cb688863, 3, 3, 3
b9ce2da2b923, 2, 4, 2
7e733df02208, 2, 4, 5
88a27f4b52e2, 0, 5, 4
c9980c37943c, 2, 1, 0
7a25b60fd98b, 1, 3, 2
4c29cb447561, 2, 4, 4
cc83ea84bb55, 4, 1, 1
084a8a271e17, 1, 1, 4
c223f6bfa8ba, 2, 3, 3
4dd418808d2d, 3, 0, 2
fdf5f8e1a133, 3, 1, 2
d1a30c711641, 3, 4, 0
72222d0090fc, 2, 2, 2
fbbec9b3c0a5, 1, 4, 2
a1bfbcf7fdcb, 5, 2, 4
733633459d05, 4, 0, 2
9608b3be1ca3, 3, 5, 5
10831f8e626c, 0, 4, 5
64461f349d68, 2, 2, 2
2bad1ae551a4, 4, 4, 4
d73a471e65b6, 4, 5, 5
580af704ab52, 1, 1, 2
3efb6f1fe5ab, 5, 0, 4
a5f4c6213406, 1, 2, 2
96773757edd3, 3, 2, 1
863005167c9f, 4, 3, 1
adabdb1fabdb, 4, 2, 1
b4fcf2224328, 0, 3, 3
c7bb2dbff09b, 2, 3, 5
4a1435859465, 4, 2, 0
b63b9650f63a, 1, 1, 3
158948cc9329, 2, 0, 4
d140ae7bb3d3, 1, 2, 1
69a102002a45, 0, 1, 1
65dd28fef467, 0, 2, 2
4ccf097a9acd, 5, 4, 4
734b43542bf3, 4, 0, 4
d6b5edc8efe1, 0, 4, 2
98d87c84ce66, 4, 1, 3
79beb40ac340, 5, 3, 3
0e1d3e20d46a, 2, 3, 0
974c28fde2ec, 0, 4, 5
e9cf9df0269c, 2, 0, 0
85a6790d062c, 2, 3, 0
54726d9a0d53, 4, 1, 4
b93a35389e7c, 3, 1, 2
d4ade233ea0b, 4, 1, 1
587eb61fb006, 1, 5, 4
72317bdeff29, 5, 5, 5
848cbfb661a8, 3, 3, 4
c895114ad3b0, 4, 0, 0
232e3ee6a3f9, 3, 3, 3
f9fbad97e657, 5, 1, 3
ac2ec1a33f6a, 1, 1, 1
36ccca536af1, 2, 1, 0
3173ddbcb5db, 4, 2, 4
5ca8a08ddd95, 4, 1, 2
0b4d57619290, 4, 1, 3
34f4812bb29c, 2, 2, 0
c7d7114cc164, 1, 0, 4
73c6409d4b58, 5, 3, 5
bc22282213fa, 3, 0, 1
6c4331229cb0, 1, 1, 1
e9a201477690, 3, 1, 2
5d2758465624, 1, 5, 2
7d056ee1037d, 1, 4, 0
fe268b7bb9dd, 1, 2, 5
854ed33a7ad0, 5, 2, 0
f41ba5409143, 0, 3, 4
991afa9d4605, 3, 2, 4
3d4b1a1e8828, 3, 1, 3
55f3fe1c37ec, 3, 1, 2
ce3a038ba7c2, 1, 3, 3
4e465e8162fa, 2, 0, 2
04e13600dea8, 2, 4, 3
a029e0092482, 5, 1, 0
43ed3916949f, 1, 1, 2
563d2aa59e76, 3, 4, 2
c630f1ee83df, 5, 3, 5
f55c1932d261, 5, 4, 2
d03e7dd5114f, 4, 0, 4
70d605c307aa, 2, 3, 4
3a2b0b6f5167, 4, 0, 2
361fcada008d, 4, 4, 2
0eb467c1c05e, 4, 2, 5
f672a9dd3c70, 1, 0, 2
5bffc9b9993a, 5, 4, 4
bc4267271240, 4, 1, 3
3057cace5562, 1, 3, 3
cb5f04ee2229, 4, 3, 3
1f7537448970, 5, 4, 3
517ffe963b6b, 3, 3, 2
46176a574f62, 3, 1, 4
e15f23d5d723, 1, 2, 0
08a171d724b6, 3, 1, 4
579a57b043ef, 2, 4, 2
35c485ef4e8b, 2, 4, 1
8c15fea12e3e, 5, 4, 2
78da4aec4e02, 1, 4, 4
2ffde8eda758, 0, 4, 2
c9f99af1f739, 3, 2, 3
629b13f126b6, 3, 3, 4
856284db333c, 1, 1, 2
d4f582533e4a, 2, 1, 2
a505fbb4b351, 1, 3, 4
db799dc1397a, 5, 3, 4
32936a06107f, 3, 4, 4
5940ed980d45, 4, 3, 5
744b42680ea3, 3, 0, 5
e47947d37dc5, 2, 3, 3
a1df98749c2a, 0, 3, 4
39dfb93d8880, 2, 4, 5
2aeb90299d3f, 4, 5, 3
5575a9f3c4a7, 4, 0, 5
549291489bbc, 0, 5, 3
d5e532701755, 4, 4, 2
61de89293fd5, 4, 1, 3
fb893b534c87, 3, 5, 5
230bca4c1712, 3, 1, 5
4a0b71b31f60, 1, 4, 3
3336fd66a536, 1, 2, 2
301837b08572, 3, 3, 2
f3e4493b425a, 4, 1, 4
eb515d02efe6, 2, 5, 3
975af6d95b38, 2, 3, 2
03267404afb8, 5, 4, 4
a0fffd00277e, 1, 1, 3
3d61aad5faa5, 4, 1, 2
3919f4241c75, 3, 3, 3
3f5def1c1b5d, 4, 2, 4
6f8338cff6c5, 4, 4, 2
ef629e29c278, 5, 2, 3
f3f8312fa4f5, 3, 2, 0
efdfda0fc13b, 5, 4, 0
3f3fff5d3746, 3, 2, 4
710e3a38a4e3, 1, 1, 1
282356bf5534, 4, 3, 0
208f8359745b, 2, 1, 0
5661939bfb27, 5, 2, 4
0c5901a66b01, 1, 2, 3
a330f712aa23, 5, 1, 2
8dd507009b88, 1, 3, 1
c51231654162, 3, 2, 2
a20317b42f1d, 3, 1, 2
ce03b5ae20c2, 2, 4, 4
80e7d9536a63, 4, 2, 3
daa20c607844, 3, 2, 2
013f30ed8c5e, 4, 4, 3
7668e7c9d0e3, 3, 2, 4
31ac63178ad2, 2, 4, 0
56b4ec44ee6d, 1, 1, 3
9a08a7b75ec6, 3, 3, 1
8f101f580b88, 3, 2, 1
165a58b16b99, 2, 1, 2
396029890ffb, 3, 5, 2
ba81038d4dd4, 2, 3, 4
ef80ff89776f, 5, 0, 5
5e1fae3b4c26, 2, 4, 4
ebdad7486431, 3, 3, 4
c7d0606a44b0, 2, 0, 1
a55633c3aa11, 1, 1, 4
feda0c26ca4c, 4, 5, 2
ba84fbd49036, 4, 3, 1
0deacb057a7a, 2, 1, 5
cb938295aaf6, 2, 5, 4
43599f7f2dba, 4, 3, 4
caacf5426eac, 2, 4, 4
83927ff4a6dd, 3, 1, 2
5b5398c04cc1, 3, 1, 4
209b821e1bc3, 0, 2, 2
1363fa27bffc, 2, 1, 1
339dffaa2f8a, 3, 1, 4
af97969db188, 0, 4, 2
c7a1249d7efa, 3, 5, 4
3a021967880b, 4, 5, 2
bd0c5f81e1e7, 5, 3, 5
c3102e8b22b0, 3, 4, 1
75dc68785b3f, 4, 0, 5
2e1dde188e75, 1, 0, 1
9ccc79338727, 1, 3, 4
dd457ace844e, 2, 4, 3
8a5acd0a59df, 4, 5, 1
ad16de396c1e, 0, 3, 2
e1cabf80e12d, 2, 2, 5
87b17673ac65, 0, 4, 0
bf0f783cc0ed, 1, 3, 1
2fd3353e109a, 3, 2, 1
a9dffed0858c, 4, 5, 0
4d993393eb4e, 1, 1, 4
519984b15971, 2, 2, 4
3785343e8984, 5, 4, 2
7c43668c2a9a, 2, 2, 1
9e776612bc48, 3, 0, 4
2374fc743602, 1, 4, 1
e11f31fa65e2, 5, 3, 2
3392b9e6642e, 0, 0, 4
094775de4a52, 2, 1, 3
a8be9dd70153, 2, 2, 4
80011513a1c8, 1, 3, 1
202b6e739b6b, 5, 3, 2
4cf439f6e485, 5, 0, 5
0ca54037b15b, 2, 3, 5
820253b86ac3, 5, 5, 2
4a3641ef7808, 5, 1, 4
f1b72c4db611, 2, 1, 1
06471c8b65cc, 1, 2, 2
3c0bc56404e1, 5, 1, 2
dc1e181ecce1, 3, 2, 5
3ead4a5b2fb9, 1, 2, 1
e3c32cd00661, 1, 4, 2
74bd421908cf, 2, 3, 1
031e5fcb8987, 2, 1, 4
b2992ddd939f, 4, 5, 1
c6560c97002e, 4, 3, 5
d1fb96a6398d, 3, 5, 1
b6032e742eee, 4, 5, 1
7305a4e5f0e7, 0, 3, 4
abcf7635c0df, 3, 2, 2
addac179763e, 2, 4, 1
5942a6fc10a4, 1, 3, 3
e58068f9c570, 1, 4, 3
ea52dcf8a63f, 5, 5, 4
ffcb08184f80, 5, 1, 0
abdd0fcf252a, 0, 0, 0
0c50c6ad587c, 2, 2, 3
1f7fab714320, 4, 0, 0
1657c7c2f362, 3, 2, 3
f590764c344d, 5, 3, 3
caddb32541c6, 3, 1, 5
b880790578a4, 1, 2, 1
e1a2f1c03e20, 3, 1, 2
8b89af21af79, 5, 3, 4
ceeb44adec1e, 0, 1, 2
e9e433870775, 5, 4, 0
1aa5a270625e, 3, 4, 1
68dd2d4609e7, 2, 4, 5
59b97bd1dfc4, 1, 0, 5
a4693ab9ddc2, 2, 2, 2
c194c4dca192, 5, 1, 2
dbf0fc6c9bff, 0, 1, 1
88180d50fd17, 5, 5, 4
6e3ab4a866b0, 4, 1, 3
07ad6f44e885, 0, 1, 1
a548fe9b3fa3, 5, 0, 1
eb4ad0ff40bb, 2, 3, 4
c76d78629d59, 2, 3, 4
dbd2dcecb50a, 3, 4, 4